Post,Sentiment,Breakup_Label,Upvotes,Downvotes,Comment_Count
"I don't trust him anymore, I think the relationship is over.",0.0,1,410,98,93
"We had a disagreement, but I think we'll work things out.",0.0,0,85,97,36
"Things aren't perfect, but I'm willing to fix it.",0.625,0,390,10,37
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,115,58,60
"We had a disagreement, but I think we'll work things out.",0.0,0,252,74,48
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,308,45,115
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,62,96,125
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,246,51,145
"I love him, and we are just going through a rough patch.",0.2,0,140,2,87
"I know we had a fight, but we'll get through it together.",0.0,0,268,36,13
"I feel like we're drifting apart, should I end things?",0.0,1,200,22,187
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,77,36,39
"I feel like we're drifting apart, should I end things?",0.0,1,317,29,89
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,147,65,61
"I love him, and we are just going through a rough patch.",0.2,0,365,77,50
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,481,61,13
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,231,81,91
"I feel like we're drifting apart, should I end things?",0.0,1,357,87,47
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,385,84,13
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,405,28,193
"I don't trust him anymore, I think the relationship is over.",0.0,1,170,0,85
"We had a disagreement, but I think we'll work things out.",0.0,0,315,16,54
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,464,60,144
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,485,60,56
"I feel like we're drifting apart, should I end things?",0.0,1,363,10,142
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,228,80,122
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,247,56,71
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,414,60,31
"We had a disagreement, but I think we'll work things out.",0.0,0,184,66,102
"Things aren't perfect, but I'm willing to fix it.",0.625,0,333,13,105
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,436,54,138
"I don't trust him anymore, I think the relationship is over.",0.0,1,379,8,81
"We had a disagreement, but I think we'll work things out.",0.0,0,360,68,29
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,381,65,146
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,343,66,195
"I know we had a fight, but we'll get through it together.",0.0,0,362,1,44
"Things aren't perfect, but I'm willing to fix it.",0.625,0,258,34,147
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,287,54,134
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,322,12,153
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,202,58,99
"Things aren't perfect, but I'm willing to fix it.",0.625,0,238,7,71
"Things aren't perfect, but I'm willing to fix it.",0.625,0,424,69,32
"We had a disagreement, but I think we'll work things out.",0.0,0,390,19,21
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,99,56,78
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,9,12,64
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,483,67,101
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,67,32,72
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,438,21,55
